edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
986,61,86,641,53,252,178,2,ORPHISM
217,10,11,360,8,84,30,3,ORPHISM
507,3,1,12,3,41,16,2,Cubism
258,12,11,102,15,36,3,2,Colour-Field-Painting
15,0,0,0,0,1,0,1,Hard-Edge-Art
876,19,25,356,23,154,115,1,Cubism
381,10,7,28,2,18,53,3,Minimalism-Art
1099,8,6,290,9,56,11,3,Hard-Edge-Art
740,14,7,828,35,309,95,3,Expressionism
189,8,17,131,2,44,33,3,Cubism
460,3,1,161,3,43,0,1,ORPHISM
228,13,18,106,9,54,14,1,Hard-Edge-Art
449,17,17,392,26,120,70,2,Expressionism
294,12,25,212,17,53,42,1,Minimalism-Art
118,0,0,45,1,6,14,1,ActionPainting
26,0,0,3,0,0,0,1,Hard-Edge-Art
524,22,24,577,26,131,50,1,Surreal-Surrealism
2249,141,173,3137,150,812,673,1,Expressionism
314,28,33,171,13,90,90,1,Surreal-Surrealism
2781,21,30,99,13,79,287,1,Op-Art
130,0,0,0,0,0,0,1,ActionPainting
2688,73,9,176,24,86,11,1,Op-Art
409,11,5,271,12,74,38,2,Surreal-Surrealism
288,9,5,128,6,79,63,2,ActionPainting
3159,38,22,2505,81,905,67,1,Op-Art
147,3,3,434,14,58,80,2,Colour-Field-Painting
313,7,0,176,8,74,21,2,Cubism
477,37,26,256,38,216,145,2,Cubism
594,36,20,554,45,261,87,2,ActionPainting
4941,19,12,54,9,60,149,1,Op-Art
835,23,10,900,15,103,37,1,ORPHISM
1684,29,42,664,45,310,125,2,Expressionism
186,2,4,52,5,43,23,2,Colour-Field-Painting
1762,118,221,3017,134,708,277,2,Expressionism
3319,73,35,988,132,978,573,2,Op-Art
1198,19,16,588,35,193,39,2,ORPHISM
2187,107,87,1370,132,519,535,4,Post-impressionism
312,5,10,191,9,69,37,2,Colour-Field-Painting
471,4,2,135,9,66,40,2,Cubism
272,27,49,244,17,112,49,3,Colour-Field-Painting
394,7,1,307,14,89,34,1,ActionPainting
60,0,1,20,0,1,0,2,Colour-Field-Painting
329,12,2,417,13,67,43,2,Cubism
1497,40,52,843,80,553,234,2,ActionPainting
462,17,22,567,23,109,26,3,ORPHISM
427,8,5,49,10,40,59,1,Cubism
759,24,14,568,19,185,54,2,ORPHISM
224,0,0,10,1,8,5,3,ORPHISM
299,7,8,73,1,36,7,1,Surreal-Surrealism
464,11,19,621,19,114,76,2,Post-impressionism
874,36,24,1814,56,261,109,1,Post-impressionism
1266,63,43,2313,90,561,251,1,Expressionism
403,43,53,1121,60,267,21,1,Colour-Field-Painting
180,1,0,8,0,3,0,1,Colour-Field-Painting
789,33,53,344,22,164,62,1,Colour-Field-Painting
502,22,27,287,14,125,67,1,Cubism
1196,41,56,358,49,337,321,4,Post-impressionism
197,1,7,94,1,5,8,2,Colour-Field-Painting
647,21,9,898,36,176,30,2,Expressionism
2758,198,184,11536,269,1421,377,1,ActionPainting
41,1,0,0,0,0,1,1,Hard-Edge-Art
154,0,4,19,1,18,18,1,Minimalism-Art
1412,44,58,816,57,378,283,2,Post-impressionism
1554,69,59,459,85,521,300,1,Post-impressionism
84,2,0,13,2,0,0,2,Minimalism-Art
102,3,3,62,2,25,14,2,Post-impressionism
36,0,2,3,1,3,0,2,Colour-Field-Painting
382,12,24,266,13,95,35,1,Surreal-Surrealism
288,15,18,125,9,52,33,3,ORPHISM
514,18,6,1459,21,123,14,5,ORPHISM
418,20,30,291,17,78,27,1,Hard-Edge-Art
2244,31,17,955,65,277,175,1,Post-impressionism
421,9,10,177,15,79,26,2,Surreal-Surrealism
164,4,10,92,4,33,41,3,Colour-Field-Painting
17,0,0,1,0,0,9,2,ActionPainting
957,29,31,277,41,190,188,1,ORPHISM
